# Temperature   mag         err        energy         err         samples
    1.000000    0.999285    0.000021   -1.997200    0.000080       50000
    1.200000    0.996982    0.000035   -1.988387    0.000127       50000
    1.400000    0.991033    0.000060   -1.967134    0.000194       50000
    1.600000    0.966725    0.000215   -1.890004    0.000580       50000
    1.800000    0.931388    0.000475   -1.794276    0.000781       50000
    2.000000    0.867081    0.001647   -1.660706    0.001684       50000
    2.200000    0.740559    0.002930   -1.457585    0.002682       50000
    2.400000    0.568234    0.003238   -1.227188    0.002881       50000
    2.600000    0.420508    0.004439   -1.038372    0.003268       50000
    2.800000    0.323008    0.002811   -0.898814    0.001969       50000
    3.000000    0.254415    0.002121   -0.788706    0.001655       50000
    3.200000    0.220084    0.001318   -0.715419    0.001226       50000
    3.400000    0.195957    0.001090   -0.657338    0.001098       50000
    3.600000    0.176994    0.001030   -0.610799    0.000978       50000
    3.800000    0.168974    0.001005   -0.577307    0.001021       50000
    4.000000    0.161019    0.000925   -0.547909    0.000964       50000
    4.200000    0.152469    0.000719   -0.515842    0.000822       50000
    4.400000    0.147596    0.000965   -0.491789    0.000943       50000
    4.600000    0.143832    0.000808   -0.469604    0.000923       50000
    4.800000    0.139683    0.000700   -0.447969    0.000975       50000
